Armchair Antarctica Point Data (WGS84),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Latitude,Longitude,Parent ID,Type,Label,URL,Logo/Profile URL,Our Icon,Established or Event Date,Associated Text,Source,Source Main Site,Licensing,Notes,Jurisdiction
-66.282111,110.525528,13,Station,Casey Station,http://en.wikipedia.org/wiki/Casey_Station,http://upload.wikimedia.org/wikipedia/en/thumb/b/b9/Flag_of_Australia.svg/125px-Flag_of_Australia.svg.png,station.gif,1957,,,,,,Australia
-66,-63.5,92,Station,"Plane Missing in Antarctica - The West Australian - 23rd September, 1947",http://en.wikipedia.org/wiki/Graham_Land,http://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Flag_of_the_Antarctic_Treaty.svg/220px-Flag_of_the_Antarctic_Treaty.svg.png,star.gif,,,,,,,
-66,92,97,Station,Blue Whales,http://en.wikipedia.org/wiki/Blue_whale,http://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Flag_of_the_Antarctic_Treaty.svg/220px-Flag_of_the_Antarctic_Treaty.svg.png,whale.gif,,,,,,,
-65.245722,-64.257222,2,Station,Vernadsky Research Base,http://en.wikipedia.org/wiki/Vernadsky_Research_Base,http://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/125px-Flag_of_Ukraine.svg.png,station.gif,1994,,,,,,Ukraine
-64.895111,-62.871333,3,Station,Almirante Brown Antarctic Base,http://en.wikipedia.org/wiki/Almirante_Brown_Antarctic_Base,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/125px-Flag_of_Argentina.svg.png,station.gif,1951,,,,,,Argentina
-64.823333,-62.858056,22,Station,Gonzala Videlez Station,http://en.wikipedia.org/wiki/Gonzalez_Videla_Station,http://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Flag_of_Chile.svg/125px-Flag_of_Chile.svg.png,station.gif,1951,,,,,,Chile
-64.774194,-64.053056,49,Station,Palmer Station,http://en.wikipedia.org/wiki/Palmer_Station,http://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/125px-Flag_of_the_United_States.svg.png,station.gif,1968,,,,,, United States
-64.240861,-56.624083,37,Station,Marambio Base,http://en.wikipedia.org/wiki/Marambio_Base,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/125px-Flag_of_Argentina.svg.png,station.gif,1969,,,,,,Argentina
-63.801806,-57.885528,41,Station,Mendel Polar Station,http://en.wikipedia.org/wiki/Mendel_Polar_Station,http://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Flag_of_the_Czech_Republic.svg/125px-Flag_of_the_Czech_Republic.svg.png,station.gif,2006,,,,,, Czech Republic
-63.397306,-56.997028,20,Station,Esperanza Base,http://en.wikipedia.org/wiki/Esperanza_Base,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/125px-Flag_of_Argentina.svg.png,station.gif,1975,,,,,,Argentina
-63.320833,-57.898944,9,Station,Bernardo O'Higgins Station,http://en.wikipedia.org/wiki/Base_General_Bernardo_O%27Higgins_Riquelme,http://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Flag_of_Germany.svg/125px-Flag_of_Germany.svg.png,station.gif,1948,,,,,, Chile
-62.977917,-60.560667,21,Station,Gabriel de Castilla Spanish Antarctic Station,http://en.wikipedia.org/wiki/Deception_Island,http://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Flag_of_Spain.svg/125px-Flag_of_Spain.svg.png,station.gif,1989,,,,,, Spain
-62.66275,-60.390361,27,Station,Juan Carlos I Antarctic Base,http://en.wikipedia.org/wiki/Juan_Carlos_I_Antarctic_Base,http://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Flag_of_Spain.svg/125px-Flag_of_Spain.svg.png,station.gif,1988,,,,,, Spain
-62.641389,-60.364722,57,Station,St. Kliment Ohridski Base,http://en.wikipedia.org/wiki/St._Kliment_Ohridski_Base,http://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Bulgaria.svg/125px-Flag_of_Bulgaria.svg.png,station.gif,1988,,,,,,Bulgaria
-62.479167,-59.664167,12,Station,Captain Arturo Prat Base,http://en.wikipedia.org/wiki/Captain_Arturo_Prat_Base,http://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Flag_of_Chile.svg/125px-Flag_of_Chile.svg.png,station.gif,1947,,,,,, Chile
-62.449056,-59.741389,36,Station,Maldonado Base,http://en.wikipedia.org/wiki/Maldonado_Base,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Flag_of_Ecuador.svg/125px-Flag_of_Ecuador.svg.png,station.gif,1990,,,,,,Ecuador
-62.237972,-58.666722,28,Station,Jubany,http://en.wikipedia.org/wiki/Jubany,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/125px-Flag_of_Argentina.svg.png,station.gif,1953,,,,,,Argentina
